"objectid","event_id","event_date","event_year","event_month","event_dow","event_hour","event_type","division","occurrence_created","apprehension_made","hood_158","neighbourhood_158"
1,1254936,"2014-01-01",2014,"January","Wednesday",9,"Person in Crisis","D22","Yes","No","158","Islington (158)"
2,1255246,"2014-01-01",2014,"January","Wednesday",11,"Suicide-related","D13","Yes","Yes","092","Corso Italia-Davenport (92)"
3,1255486,"2014-01-01",2014,"January","Wednesday",12,"Person in Crisis","D52","No","No","078","Kensington-Chinatown (78)"
4,1254356,"2014-01-01",2014,"January","Wednesday",5,"Suicide-related","D43","No","No","136","West Hill (136)"
5,1253198,"2014-01-01",2014,"January","Wednesday",1,"Suicide-related","D53","No","No","095","Annex (95)"
6,1256379,"2014-01-01",2014,"January","Wednesday",16,"Suicide-related","D54","No","No","059","Danforth East York (59)"
7,1254908,"2014-01-01",2014,"January","Wednesday",9,"Suicide-related","D51","No","No","167","Church-Wellesley (167)"
8,1255697,"2014-01-01",2014,"January","Wednesday",13,"Person in Crisis","D11","No","No","171","Junction-Wallace Emerson (171)"
9,1257103,"2014-01-01",2014,"January","Wednesday",19,"Suicide-related","D23","No","No","006","Kingsview Village-The Westway (6)"
10,1253227,"2014-01-01",2014,"January","Wednesday",1,"Suicide-related","D32","No","No","037","Willowdale West (37)"
11,1254254,"2014-01-01",2014,"January","Wednesday",4,"Suicide-related","D32","Yes","No","036","Newtonbrook West (36)"
12,1253798,"2014-01-01",2014,"January","Wednesday",2,"Person in Crisis","D41","No","No","124","Kennedy Park (124)"
13,1257130,"2014-01-01",2014,"January","Wednesday",19,"Suicide-related","D42","Yes","Yes","144","Morningside Heights (144)"
14,1256427,"2014-01-01",2014,"January","Wednesday",16,"Person in Crisis","D22","No","No","160","Mimico-Queensway (160)"
15,1253239,"2014-01-01",2014,"January","Wednesday",1,"Suicide-related","D51","Yes","Yes","071","Cabbagetown-South St.James Town (71)"
16,1257986,"2014-01-01",2014,"January","Wednesday",23,"Suicide-related","D52","Yes","No","078","Kensington-Chinatown (78)"
17,1256447,"2014-01-01",2014,"January","Wednesday",16,"Suicide-related","D54","Yes","No","058","Old East York (58)"
